[2017-10-21 18:18:53,626] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2017-10-21 18:19:04,199] TRACE Controller 0 epoch 1 received response {error_code=0} for a request sent to broker DESKTOP-81LDR8I:9092 (id: 0 rack: null) (state.change.logger)
[2017-10-21 18:19:23,767] TRACE Controller 0 epoch 1 changed partition [strava,0] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-21 18:19:23,814] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [strava,0] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-21 18:19:24,024] TRACE Controller 0 epoch 1 changed partition [strava,0] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-21 18:19:24,028] TRACE Controller 0 epoch 1 sending become-leader LeaderAndIsr request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition [strava,0] (state.change.logger)
[2017-10-21 18:19:24,033] TRACE Controller 0 epoch 1 sending UpdateMetadata request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to brokers Set(0) for partition strava-0 (state.change.logger)
[2017-10-21 18:19:24,037] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [strava,0] from NewReplica to OnlineReplica (state.change.logger)
[2017-10-21 18:19:24,038] TRACE Broker 0 received LeaderAndIsr request PartitionState(controllerEpoch=1, leader=0, leaderEpoch=0, isr=0, zkVersion=0, replicas=0) correlation id 1 from controller 0 epoch 1 for partition [strava,0] (state.change.logger)
[2017-10-21 18:19:24,052] TRACE Broker 0 handling LeaderAndIsr request correlationId 1 from controller 0 epoch 1 starting the become-leader transition for partition strava-0 (state.change.logger)
[2017-10-21 18:19:24,230] TRACE Broker 0 stopped fetchers as part of become-leader request from controller 0 epoch 1 with correlation id 1 for partition strava-0 (state.change.logger)
[2017-10-21 18:19:24,231] TRACE Broker 0 completed LeaderAndIsr request correlationId 1 from controller 0 epoch 1 for the become-leader transition for partition strava-0 (state.change.logger)
[2017-10-21 18:19:24,237] TRACE Controller 0 epoch 1 received response {error_code=0,partitions=[{topic=strava,partition=0,error_code=0}]} for a request sent to broker DESKTOP-81LDR8I:9092 (id: 0 rack: null) (state.change.logger)
[2017-10-21 18:19:24,244] TRACE Broker 0 cached leader info (LeaderAndIsrInfo:(Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1),ReplicationFactor:1),AllReplicas:0) for partition strava-0 in response to UpdateMetadata request sent by controller 0 epoch 1 with correlation id 2 (state.change.logger)
[2017-10-21 18:19:24,245] TRACE Controller 0 epoch 1 received response {error_code=0} for a request sent to broker DESKTOP-81LDR8I:9092 (id: 0 rack: null) (state.change.logger)
[2017-10-21 18:19:35,192] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,19] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-21 18:19:35,193] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,30] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-21 18:19:35,193] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,47] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-21 18:19:35,193] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,29] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
